eval_id,query,answerable_from_kb,top1_score,top2_score,top3_score,mean_top3_score,predicted_covered,error_type,negative_type
asthma_02,How can the level of asthma control be assessed in a patient who already has asthma?,1,0.7279790639877319,0.7030378580093384,0.7021499872207642,0.7110556364059448,1,correct,positive
asthma_03,When should a patient with asthma be referred to a specialist?,1,0.7806962728500366,0.68522047996521,0.6828561425209045,0.716257631778717,1,correct,positive
asthma_04,What treatment and management approaches are recommended for adults with asthma?,1,0.740810751914978,0.7315086126327515,0.730697512626648,0.7343389590581259,1,correct,positive
asthma_05,What alternative diagnoses should be considered when symptoms resemble asthma?,1,0.699135959148407,0.6928011178970337,0.6782914400100708,0.6900761723518372,1,correct,positive
lbp_01,How should a patient with low back pain be evaluated to determine whether further diagnostic testing is needed?,1,0.765182375907898,0.7587988376617432,0.7510935068130493,0.7583582401275635,1,correct,positive
lbp_02,What self-care and education should be recommended to patients with low back pain?,1,0.7774325609207153,0.7719956636428833,0.739401638507843,0.7629432876904806,1,correct,positive
lbp_03,Which non-drug and non-invasive treatments are recommended for managing low back pain?,1,0.7446455955505371,0.7266268134117126,0.7174886465072632,0.7295870184898376,1,correct,positive
lbp_04,What medications can be considered for the treatment of low back pain?,1,0.7072934508323669,0.707032322883606,0.7058446407318115,0.7067234714825948,1,correct,positive
lbp_05,What non-surgical invasive treatments may be considered for patients with persistent low back pain?,1,0.7271116375923157,0.7237887978553772,0.7148199081420898,0.7219067811965942,1,correct,positive
mdd_01,How should a patient be initially assessed when major depressive disorder is suspected?,1,0.7215975522994995,0.7168290019035339,0.7165225148200989,0.7183163563410441,1,correct,positive
mdd_02,How should treatment outcomes be monitored in a patient being treated for major depression?,1,0.7657598257064819,0.7550769448280334,0.7282551527023315,0.7496973077456156,1,correct,positive
mdd_03,What treatments are recommended for uncomplicated major depressive disorder?,1,0.7661752700805664,0.765671968460083,0.7479756474494934,0.7599409619967142,1,correct,positive
mdd_04,What treatment options should be considered when depression is severe or has not responded adequately to initial treatment?,1,0.7337913513183594,0.7200971841812134,0.7126173973083496,0.7221686442693075,1,correct,positive
mdd_05,What non-medication self-help or complementary approaches may be considered for major depression?,1,0.6958093643188477,0.6869757175445557,0.6855310797691345,0.6894387205441793,1,correct,positive
pregnancy_01,What should be assessed and discussed during the initial prenatal visit?,1,0.7548775672912598,0.7307814359664917,0.7079033255577087,0.7311874429384867,1,correct,positive
pregnancy_02,What care and monitoring should be provided during follow-up prenatal visits?,1,0.7520560026168823,0.7433879375457764,0.7326892614364624,0.742711067199707,1,correct,positive
pregnancy_03,What care should be provided to a patient during the postpartum period?,1,0.788153886795044,0.7282923460006714,0.7260705828666687,0.7475056052207947,1,correct,positive
pregnancy_04,What education should patients receive as part of routine pregnancy care?,1,0.7406916618347168,0.6807770729064941,0.6778366565704346,0.6997684637705485,1,correct,positive
pregnancy_05,When should a pregnant patient be referred to an advanced prenatal care provider?,1,0.7859671115875244,0.7715162038803101,0.770250141620636,0.7759111523628235,1,correct,positive
sti_01,What treatment is recommended for chlamydial infection in adolescents and adults?,1,0.8102931380271912,0.7866988182067871,0.765036940574646,0.7873429656028748,1,correct,positive
sti_02,How should a first clinical episode of genital herpes be treated?,1,0.7764235734939575,0.731897234916687,0.7167353630065918,0.7416853904724121,1,correct,positive
sti_03,How should cervicitis be evaluated to determine the likely infectious cause?,1,0.7415261268615723,0.7361260056495667,0.7276709675788879,0.7351077000300089,1,correct,positive
sti_04,What tests are used to diagnose syphilis?,1,0.7787595987319946,0.7620435953140259,0.73610520362854,0.7589694658915201,1,correct,positive
sti_05,What treatments are recommended for bacterial vaginosis?,1,0.7863996028900146,0.7391753196716309,0.7270563840866089,0.7508771022160848,1,correct,positive
negative_000,What is the treatment for acne vulgaris?,0,0.6349385976791382,0.6249765157699585,0.6238628029823303,0.627925972143809,0,correct,regular
negative_001,How is appendicitis diagnosed?,0,0.6466109752655029,0.6273874044418335,0.6180007457733154,0.6306663751602173,0,correct,regular
negative_002,What medications are used for migraine prevention?,0,0.6047455668449402,0.5985345840454102,0.5930298566818237,0.598770002524058,0,correct,regular
negative_003,How should psoriasis be treated?,0,0.6402792930603027,0.6390866041183472,0.6389329433441162,0.639432946840922,0,correct,regular
negative_004,What causes glaucoma?,0,0.5739779472351074,0.5712820887565613,0.5682476758956909,0.5711692372957865,0,correct,regular
negative_005,How is otitis media treated in children?,0,0.6177551746368408,0.6067600250244141,0.6014690399169922,0.608661413192749,0,correct,regular
negative_006,What are the treatments for endometriosis?,0,0.6196038722991943,0.6020170450210571,0.5997786521911621,0.6071331898371378,0,correct,regular
negative_007,How is Parkinson disease diagnosed?,0,0.5868417024612427,0.583228349685669,0.5689757466316223,0.579681932926178,0,correct,regular
negative_008,What causes dental enamel erosion?,0,0.5329710245132446,0.5167726278305054,0.5141278505325317,0.5212905009587606,0,correct,hard_negative
negative_009,How is gallstone disease treated?,0,0.5927940011024475,0.5900272130966187,0.5833690166473389,0.5887300769488016,0,correct,hard_negative
negative_010,What are the treatment options for rheumatoid arthritis?,0,0.6139672994613647,0.6106104254722595,0.6001108884811401,0.6082295378049215,0,correct,regular
negative_011,How is iron deficiency anemia treated?,0,0.5589922070503235,0.5561182498931885,0.5316529273986816,0.5489211281140646,0,correct,regular
negative_012,What medications are used for epilepsy?,0,0.6051591634750366,0.6009411811828613,0.5924803018569946,0.5995268821716309,0,correct,hard_negative
negative_013,How should bacterial conjunctivitis be treated?,0,0.7303114533424377,0.7148422002792358,0.6677648425102234,0.704306165377299,1,false_positive,hard_negative
negative_014,What are the symptoms of multiple sclerosis?,0,0.5809471607208252,0.5757982730865479,0.5734091997146606,0.5767182111740112,0,correct,regular
negative_015,How is peptic ulcer disease treated?,0,0.6454331874847412,0.6346046924591064,0.6295223236083984,0.6365200678507487,0,correct,regular
negative_016,What is the treatment for polycystic ovary syndrome?,0,0.6370766162872314,0.635003387928009,0.6303347945213318,0.634138266245524,0,correct,regular
negative_017,How is hypothyroidism treated?,0,0.6415064930915833,0.5824798345565796,0.5692901015281677,0.5977588097254435,0,correct,hard_negative
negative_018,What causes kidney stones?,0,0.6292167901992798,0.612215518951416,0.6069722175598145,0.6161348422368368,0,correct,hard_negative
negative_019,How should acute sinusitis be managed?,0,0.6080388426780701,0.5989338755607605,0.5912659764289856,0.5994128982226054,0,correct,regular
